#Query Name,Target 1,evalue 1,bitscore 1,bias1,coverage1,Target 2,evalue 2,bitscore 2,bias2,coverage2
NP_041965.1,VOG3373,5.8e-22,76.4,10.7,96
NP_042007.1,VOG0041,1.3e-17,63.0,0.1,92
NP_041984.1,VOG5019,2.3e-91,303.3,0.7,97,VOG4726,9.3e-40,133.3,0.2,40
NP_041985.1,VOG5019,5.2e-39,132.9,1.1,97,VOG4727,2.1e-31,107.4,2.3,96
NP_041961.1,VOG2311,1.5e-19,68.6,11.3,95
NP_041967.1,VOG4559,3.4e-25,87.4,0.4,37
NP_041997.1,VOG4572,1.4e-133,444.8,8.2,81,VOG9563,5.6e-64,213.1,1.1,29
NP_041957.1,VOG1696,1.8e-73,243.2,7.8,98
NP_041954.1,VOG3370,2.9e-35,121.1,11.0,92
NP_041962.1,VOG2312,8.5e-34,115.2,1.2,97
NP_041963.1,VOG0018,1.5e-92,309.5,0.3,78
NP_041966.1,VOG2314,2.1e-42,142.6,0.7,97
NP_041975.1,VOG0025,4.4e-58,197.2,0.3,65,VOG10213,1.5e-17,62.8,0.2,12
NP_041955.1,VOG3371,1.6e-20,72.1,0.0,86
NP_041979.1,VOG1074,8e-27,93.1,5.7,98
NP_041983.1,VOG3375,5.9e-45,151.6,0.6,97,VOG10937,7e-11,41.3,0.2,76
NP_042011.1,VOG3339,5.4e-37,125.6,9.8,97
NP_041956.1,VOG9711,1.7e-28,97.3,12.0,91
NP_042010.1,VOG9941,3.6e-45,153.3,0.1,29,VOG4544,5.4e-24,84.9,0.0,42
NP_041974.1,VOG4813,2.3e-15,55.7,0.2,60,VOG5821,7e-08,31.6,0.0,36
NP_041995.1,VOG0030,4.8e-208,690.9,4.5,95
NP_042012.1,VOG3340,3.1e-35,119.1,9.8,98
NP_041969.1,VOG2315,8.2e-35,117.4,0.0,95,VOG9286,2.3e-09,36.1,0.2,52
NP_041981.1,VOG3374,4.5e-65,217.1,1.4,97
NP_041988.1,VOG0028,2.1e-59,200.3,1.5,90,VOG11031,2.2e-20,72.2,0.2,43
NP_042013.1,VOG2404,4.4e-24,83.3,3.6,98
NP_041982.1,VOG0026,2.2e-135,452.0,2.2,72,VOG1255,6.2e-21,73.8,0.0,22
NP_041998.1,VOG4572,8.9e-134,445.4,7.9,93,VOG9563,5.1e-64,213.3,1.2,34
NP_042005.1,VOG3180,4.7e-38,130.0,0.5,28,VOG7229,5.1e-36,123.0,1.0,27
NP_042008.1,VOG0299,5.8e-48,162.2,0.5,96
NP_042009.1,VOG2403,8.2e-40,134.1,0.5,97
NP_041999.1,VOG4592,3.2e-64,215.4,0.0,90
NP_042006.1,VOG0040,3.7e-30,102.4,0.4,91
NP_041970.1,VOG0021,1.9e-48,164.2,6.2,81
NP_041959.1,VOG2310,3.1e-136,452.8,1.0,84
NP_042000.1,VOG0034,1e-270,899.8,5.0,96
NP_041958.1,VOG1696,4.9e-35,119.4,0.5,98
NP_041978.1,VOG2317,1.8e-48,162.5,0.0,97
NP_042001.1,VOG0035,1.7e-48,163.5,0.0,94
NP_042004.1,VOG0038,0.0,1587.8,26.6,92,VOG4860,1.4e-14,52.7,0.3,8
NP_041996.1,VOG0031,6.5e-86,288.1,11.0,91,VOG11026,1.6e-07,30.8,0.4,34
NP_041980.1,VOG2318,1.9e-42,142.2,5.5,93
NP_041990.1,VOG2349,7.3e-38,127.4,0.0,94
NP_041977.1,VOG0025,3e-58,197.7,0.3,73,VOG4551,5.3e-15,55.4,0.0,29
NP_041993.1,VOG0029,2.9e-27,94.8,20.8,85
NP_042003.1,VOG0037,0.0,1180.2,35.8,97
NP_041989.1,VOG4657,3.8e-20,70.2,0.9,89
NP_041972.1,VOG0451,1.5e-38,131.0,0.1,78,VOG7941,2.8e-10,39.1,0.0,47
NP_041986.1,VOG5019,7.7e-46,155.2,0.4,98,VOG4726,8.5e-41,136.6,0.2,98
NP_041968.1,VOG1070,1e-17,63.0,1.5,69
NP_041987.1,VOG3376,2.1e-40,135.8,1.4,98
NP_041991.1,VOG2320,1.5e-32,111.4,2.4,93
NP_041960.1,VOG0019,0.0,1114.0,0.6,88,VOG11032,8.8e-60,201.6,0.0,31
NP_041992.1,VOG2350,6.1e-47,158.2,0.4,96
NP_042002.1,VOG4610,4.1e-70,234.8,25.1,95,VOG9208,5.7e-16,57.8,1.3,60
